County,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
Ottawa,67955.72916666667,67500,46,3105,84.50359242325278
Prescott and Russell,89000,88500,45,3983,108.39865011974744
Renfrew,43971.354166666664,43700,42,1835,49.9401262791204
"Stormont, Dundas and Glengarry",144905.59895833334,144000,47,6768,184.19333768778577
Eastern Ontario,446766.9270833334,444100,45.05066426480522,20007,544.4970607446114
Algoma,,,,0,0
Cochrane,,,,0,0
Greater Sudbury,1000,1000,37.5,38,1.0341824515567168
Kenora,,,,0,0
Manitoulin,,,,0,0
Nipissing,,,,0,0
Rainy River,,,,0,0
Sudbury,,,,0,0
Thunder Bay,1000,1000,28,28,0.762029174831265
Timiskaming,7000,7000,38.6,270,7.348138471587198
Northern Ontario,8999.348958333334,9000,29.3,264,7.184846505551927
Ontario,3070000,3060000,45.48052712468526,139300,3791.095144785543
,,,,,
2013,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
Brant,46619.96032399524,46589.68024909129,42.35904423119716,1973.4943263885905,53.70929475257431
Chatham-Kent,187609.03363377537,187487.17991378915,47.36461989273658,8880.259011377739,241.67915881171726
Elgin,106732.72353617272,106663.39969203135,44.711292482964026,4769.058460857709,129.79148870176653
Essex,120987.73125236621,120909.14865514133,47.99987851773096,5803.624447129057,157.94754101701113
Haldimand-Norfolk,148802.4569582409,148705.80845165113,39.708700758021884,5904.914448786336,160.70418160206663
Hamilton,14158.81725778877,14149.620981255337,46.63001614845195,659.7970548504109,17.956593045134195
Lambton,270973.7490683694,270797.7492313517,45.81883378238295,12407.637060674726,337.67790824827796
Middlesex,167725.8385524455,167616.89914281495,45.41716481331974,7612.684333866818,207.18169861383674
Niagara,63612.21391087923,63570.89721758646,41.7775779740853,2655.83811539028,72.27950455558133
Oxford,104477.47550596668,104409.61646528731,49.877520069329215,5207.692740678333,141.7290643554957
Southern Ontario,1231700,1230900,45.393614428466975,55875,1520.6564337034617
Bruce,125938.75360343834,125379.58698044972,45.868437828181904,5750.965790335883,156.51441841758881
Dufferin,15671.114239290768,15601.534671628491,41.414315132652355,646.1268734438243,17.584554578810806
Grey,33753.32998884338,33603.46559043975,39.305856979689345,1320.813012519737,35.94635892988616
Halton,5479.871212177937,5455.540646784423,46.50461770550031,253.70783215552748,6.9047417852037745
Huron,215768.49131056585,214810.48168142987,49.38504429472742,10608.425152809146,288.7117666233711
Peel,19650.581866375145,19563.333508045493,43.24960821957755,846.1065096919012,23.027065907138613
Perth,90718.47850666026,90315.68950154619,46.50028220342667,4199.705049218957,114.29634904253639
Simcoe,79332.14049852868,78979.90670370565,43.43557592250939,3430.5377339815154,93.36320852333756
Waterloo,26973.80605452517,26854.04266470989,46.827795123016124,1257.5156081277687,34.223699328537144
Wellington,84913.43271959446,84536.41805126055,45.342546160300465,3833.096437715739,104.31897555289949
Western Ontario,698200,695099.9999999999,46.248021867357224,32147,874.8911386893099
Durham,42969.609413504186,42821.87499999999,42.64996932426394,1826.3516551574646,49.70475874040564
Haliburton,0,0,0,0,0
Hastings,13420.098160013144,13373.958333333334,44.332622645999855,592.9026480749919,16.136039845280642
Kawartha Lakes,37250.989814358465,37122.916666666664,37.546421597308495,1393.8326800884167,37.9336131093081
Muskoka,0,0,0,0,0
Northumberland,44635.75447675374,44482.29166666667,44.088834549500035,1961.1723976742712,53.37394942505637
Parry Sound,511.13233119763436,509.37500000000006,41.104931539102246,20.93782450273021,0.5698297545920479
Peterborough,13840.292837194022,13792.708333333334,40.30145967472806,555.866278701119,15.128082916969273
Prince Edward,19395.851815344176,19329.166666666668,43.00142952573118,831.181798207779,22.62088499368003
York,31576.27115163463,31467.708333333332,41.93996917771189,1319.7547175932275,35.91755708668701
Central Ontario,203600,202900.00000000003,41.902414982750116,8502,231.3847158719791
Frontenac,18242.487251728875,18227.25132139614,34.22718926265083,623.8675807153281,16.97876063344568
Lanark,19101.867417980302,19085.91374251985,46.84844165089603,894.1453163204758,24.334457770533305
Leeds and Grenville,35335.99785782476,35306.485610170675,47.391335965491834,1673.2215213124014,45.53727197127154
Lennox and Addington,6633.536684750972,6627.996425827182,35.175343588875904,233.14205158431258,6.345037328116497
Ottawa,42369.951335366844,42334.56440496426,46.13428692568402,1953.0749411324707,53.15357449195707
Prescott and Russell,125893.96698255991,125788.82168719586,45.20285702252952,5686.014121758775,154.74673747438425
Renfrew,21538.868838335624,21520.87980534147,40.05367111662082,861.9902418634738,23.45934688285091
"Stormont, Dundas and Glengarry",90083.32363145272,90008.08700258458,49.32383714793629,4439.544225312763,120.82365080864258
Eastern Ontario,359200,358900.00000000006,45.59765951518528,16365,445.3788373612018
Algoma,899.1082031340954,898.357277574685,36.73524045580635,33.001370606929626,0.8981431147106909
Cochrane,0,0,0,0,0
Greater Sudbury,0,0,0,0,0
Kenora,485.1002398304887,484.69508929610913,40.878850325668346,19.813778008922096,0.5392384609438846
Manitoulin,314.68787109693346,314.42504715113984,34.99369677706186,11.002894759120364,0.29944738621599076
Nipissing,740.1960556034182,739.5778517707873,35.088925728176676,25.950992310989616,0.7062647591712828
Rainy River,0,0,0,0,0
Sudbury,0,0,0,0,0
Thunder Bay,0,0,0,0,0
Timiskaming,4865.639043472186,4861.575313758819,24.589782100934514,119.54507763261171,3.253458459411379
Northern Ontario,7300,7300,28.63013698630137,209,5.688003483561942
Ontario,2500000,2495100,45.32804296420985,113098,3077.9991291095143
,,,,,
2012,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
Brant,43818.83074691629,43264.083979829156,44.06606505926985,1906.477939384866,51.88542182083785
Chatham-Kent,265905.8178985438,262539.4479997016,56.44915633889271,14820.130345261749,403.33470349612855
Elgin,113559.3114049584,112121.6495641304,54.89796046579661,6155.249885131532,167.5171425302507
Essex,176712.84507609176,174475.65896597103,52.18314640910151,9104.688856645731,247.78709059018428
Haldimand-Norfolk,138588.59989954485,136834.06705512805,40.1584701565767,5495.046798236374,149.54949918997318
Hamilton,41817.64705882353,41288.23529411765,44.73360414091986,1846.9715733242147,50.265936569894805
Lambton,262988.83828539157,259659.39737307126,53.44929895094108,13878.61275561449,377.7109937844135
Middlesex,178323.04249045547,176065.47126747883,52.07121885883017,9167.943687851965,249.50859154833347
Niagara,122543.36193443001,120991.96193807347,34.38994440938851,4160.906845033198,113.24044320251464
Oxford,77541.7052048444,76560.02656249865,48.74438373489102,3731.8713135158832,101.56410062910633
Southern Ontario,1421800.0000000002,1403800,50.05549223536117,70267.90000000001,1912.3639233616375
Bruce,98769.53394559171,96164.3568502625,42.89795572476901,4125.254322463448,112.27014811842609
Dufferin,22479.44509164942,21886.519994921357,44.691518840867275,978.1418207140462,26.620450160952704
Grey,37813.86624908952,36816.47551226336,41.70204699716904,1535.3223920825296,41.78430198352193
Halton,25988.0454805664,25302.576407930697,33.283381371508106,842.155300266881,22.91953244793384
Huron,127271.91901349626,123914.95381332429,46.49220144560747,5761.078994812218,156.78965259123171
Peel,20895.454727702425,20344.309471888162,45.96311959316178,935.0879292966896,25.448724398451166
Perth,88115.90962246542,85791.73595967382,49.62322266078275,4257.262415981976,115.86279163896081
Simcoe,109393.38128342603,106507.98616293081,45.49599117773138,4845.686398826636,131.87694314246232
Waterloo,32154.060239809864,31305.954372420307,42.64326907931232,1334.9882360877932,36.33214228412239
Wellington,89218.38434620295,86865.13145438468,44.542869212137404,3869.22218946778,105.30214972424831
Western Ontario,652100.0000000001,634900,44.86407308237517,28484.199999999997,775.2068364903113
Durham,36521.08455125507,34123.5814292051,46.20704345294014,1576.7498098692213,42.91176273321417
Haliburton,0,0,0,0,0
Hastings,25612.38294871649,23931.004401578655,36.52251738761012,874.0205243596309,23.78675496297711
Kawartha Lakes,27481.27369402773,25677.207897819684,38.320575144952954,983.9653747609786,26.77894009255875
Muskoka,0,0,0,0,0
